Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Tarfaya,Appartement économique,PT,,401.0,425.0,448.0,472.0,496.0,520.0,544.0,568.0,591.0,614.0,640.0,685.0,715.0,744.0,763.0,778.0,798.0,815.0,868.0,869.0,897.0,939.0,,100.0,106.0,111.9,117.9,123.8,129.8,135.7,141.7,147.6,153.3,159.8,171.0,178.4,185.8,190.4,194.3,199.3,203.3,216.7,216.9
Tarfaya,Appartement économique,MT,,560.0,592.0,625.0,657.0,690.0,721.0,753.0,785.0,816.0,846.0,879.0,946.0,980.0,,,,,,,,,,,100.0,105.9,111.7,117.4,123.2,128.9,134.6,140.2,145.8,151.2,157.0,169.0,175.1,185.5,192.6,196.9,201.2,205.8,215.2,215.3
Tarfaya,Appartement économique,GT,,794.0,850.0,901.0,953.0,,,,,,,,,,,,,,,,,,,,100.0,107.0,113.4,119.9,126.4,132.8,139.1,145.4,151.6,157.7,163.8,170.6,175.8,178.6,183.2,188.6,191.2,194.3,205.9,206.3
Tarfaya,Maison sur lot économique,PT,,464.0,492.0,520.0,548.0,576.0,603.0,631.0,659.0,687.0,713.0,744.0,754.0,778.0,817.0,836.0,849.0,865.0,886.0,923.0,924.0,952.0,,,100.0,106.0,112.0,118.0,123.9,129.9,135.9,141.9,147.9,153.6,160.2,162.5,167.5,176.0,180.0,182.7,186.3,190.8,198.8,199.0
Tarfaya,Maison sur lot économique,MT,,589.0,625.0,661.0,698.0,734.0,770.0,807.0,843.0,879.0,915.0,953.0,,,,,,,,,,,,,100.0,106.2,112.4,118.5,124.7,130.9,137.0,143.2,149.4,155.5,161.9,172.2,175.5,183.4,186.9,188.6,191.8,195.8,206.0,203.5
Tarfaya,Maison sur lot économique,GT,,803.0,863.0,919.0,976.0,,,,,,,,,,,,,,,,,,,,100.0,107.5,114.4,121.6,128.7,135.9,143.0,150.1,157.3,164.4,171.5,178.9,183.4,187.3,190.3,193.0,196.0,200.0,204.6,202.8
Es-Semara,Appartement économique,PT,,381.0,401.0,431.0,461.0,491.0,518.0,541.0,565.0,591.0,615.0,642.0,687.0,716.0,742.0,759.0,770.0,788.0,804.0,831.0,832.0,873.0,921.0,,100.0,105.2,113.1,121.1,129.0,136.0,142.1,148.2,155.2,161.4,168.6,180.2,187.9,194.6,199.1,202.0,206.8,210.9,218.2,218.4
Es-Semara,Appartement économique,MT,,574.0,613.0,647.0,680.0,713.0,746.0,779.0,811.0,844.0,876.0,909.0,972.0,,,,,,,,,,,,100.0,106.9,112.6,118.4,124.2,129.9,135.7,141.3,147.0,152.6,158.4,169.3,174.3,183.2,188.4,191.8,194.6,198.0,209.1,209.9
Es-Semara,Appartement économique,GT,,730.0,783.0,839.0,886.0,936.0,976.0,,,,,,,,,,,,,,,,,,100.0,107.3,115.0,121.4,128.3,133.8,139.5,145.1,149.3,155.7,160.8,166.4,171.3,174.2,177.0,181.4,183.5,185.2,193.8,193.9
Es-Semara,Maison sur lot économique,PT,,453.0,479.0,496.0,501.0,514.0,524.0,540.0,571.0,622.0,662.0,718.0,739.0,759.0,789.0,810.0,828.0,844.0,857.0,881.0,862.0,887.0,930.0,,100.0,105.6,109.4,110.7,113.4,115.8,119.3,126.2,137.3,146.1,158.5,163.1,167.7,174.3,178.8,182.8,186.3,189.1,194.6,190.3
Es-Semara,Maison sur lot économique,MT,,586.0,639.0,674.0,710.0,745.0,781.0,817.0,846.0,881.0,916.0,953.0,,,,,,,,,,,,,100.0,109.1,115.1,121.2,127.3,133.3,139.5,144.5,150.5,156.5,162.8,171.6,176.1,183.0,187.4,192.4,196.7,200.3,206.1,202.7
Es-Semara,Maison sur lot économique,GT,,759.0,818.0,863.0,914.0,964.0,,,,,,,,,,,,,,,,,,,100.0,107.8,113.7,120.5,127.0,134.3,139.4,144.7,150.7,155.8,161.5,168.3,172.6,176.5,179.8,183.3,184.6,186.5,189.4,188.2
